_id;correspond;seed
5cb0e02345d3d81560222124;D;fokus
5cb0e05445d3d8156022212d;D;menerima
5cb0e05e45d3d8156022212e;D;kuat
5cb0e06a45d3d8156022212f;D;ide
5cb0e06f45d3d81560222130;D;cepat
5cb0e07545d3d81560222131;D;mencapai
5cb0e07b45d3d81560222132;D;skeptis
5cb0e08045d3d81560222133;D;praktis
5cb0e08745d3d81560222134;D;tindakan
5cb0e08e45d3d81560222135;D;baru
5cb0e09445d3d81560222136;D;halaman
5cb0e0a745d3d81560222139;D;bawah
5cb0e0fc45d3d8156022213f;D;tujuan
5cb0e10045d3d81560222140;D;langsung
5cb0e10745d3d81560222141;D;menentukan
5cb0e10e45d3d81560222142;D;kemenangan
5cb0e11345d3d81560222143;D;hasil
5cb0e11845d3d81560222144;D;mendapatkan
5cb0e11d45d3d81560222145;D;kontrol
5cb0e12345d3d81560222146;D;terjadi
5cb0e12945d3d81560222147;D;tegas
5cb0e13545d3d81560222148;D;ketidaksabaran
5cb0e13a45d3d81560222149;D;segera
5cb0e21a45d3d8156022214a;I;kelompok
5cb0e21f45d3d8156022214b;I;pendapat
5cb0e22345d3d8156022214c;I;antusias
5cb0e22745d3d8156022214d;I;kebahagiaan
5cb0e22d45d3d8156022214e;I;konseling
5cb0e23345d3d8156022214f;I;sosial
5cb0e23745d3d81560222150;I;ramah
5cb0e23b45d3d81560222151;I;antusiasme
5cb0e23f45d3d81560222152;I;bersemangat
5cb0e24445d3d81560222153;I;hidup
5cb0e24b45d3d81560222155;I;terusterang
5cb0e25045d3d81560222156;I;kerelaan
5cb0e25545d3d81560222157;I;optimis
5cb0e25945d3d81560222158;I;pembinaan
5cb0e25f45d3d81560222159;I;menyenangkan
5cb0e26345d3d8156022215a;I;taksir
5cb0e26a45d3d8156022215b;I;berenergi
5cb0e26d45d3d8156022215c;I;pengakuan
5cb0e27245d3d8156022215d;I;status
5cb0e27745d3d8156022215e;I;impulsif
5cb0e27c45d3d8156022215f;I;hubungan
5cb0e28245d3d81560222160;I;ekspresif
5cb0e28745d3d81560222161;I;kegembiraan
5cb0e28b45d3d81560222162;I;perasaan
5cb0e29045d3d81560222163;I;intuisi
5cb0e34145d3d81560222165;S;sabar
5cb0e34545d3d81560222166;S;loyalitas
5cb0e34845d3d81560222167;S;diandalkan
5cb0e34b45d3d81560222168;S;empatik
5cb0e34e45d3d81560222169;S;stabilitas
5cb0e35145d3d8156022216a;S;mendukung
5cb0e35545d3d8156022216b;S;membantu
5cb0e35845d3d8156022216c;S;stabil
5cb0e35f45d3d8156022216d;S;biasa
5cb0e36245d3d8156022216e;S;menenangkan
5cb0e36645d3d8156022216f;S;kerjasama
5cb0e5f845d3d81560222195;C;menantang
5cb0e36945d3d81560222170;S;tulus
5cb0e36f45d3d81560222171;S;kepercayaan
5cb0e37745d3d81560222172;S;tenang
5cb0e37b45d3d81560222173;S;hangat
5cb0e37f45d3d81560222174;S;terbuka
5cb0e38345d3d81560222175;S;keamanan
5cb0e38745d3d81560222176;S;sopan
5cb0e3d245d3d81560222178;S;konsisten
5cb0e3dd45d3d81560222179;S;peran
5cb0e3e245d3d8156022217a;S;informal
5cb0e41245d3d8156022217b;S;bimbang
5cb0e4cc45d3d8156022217c;C;bijaksana
5cb0e4d245d3d8156022217e;C;pertumbuhan
5cb0e4d445d3d8156022217f;C;kualitas
5cb0e4dc45d3d81560222181;C;menganalisis
5cb0e4df45d3d81560222182;C;resmi
5cb0e4e245d3d81560222183;C;detail
5cb0e4e845d3d81560222184;C;waspada
5cb0e4ea45d3d81560222185;C;efektif
5cb0e4ee45d3d81560222186;C;fakta
5cb0e4f145d3d81560222187;C;analitis
5cb0e4f645d3d81560222188;C;ketepatan
5cb0e4f945d3d81560222189;C;ditebak
5cb0e50145d3d8156022218b;C;pilihan
5cb0e50545d3d8156022218c;C;bersih
5cb0e50c45d3d8156022218d;C;logis
5cb0e51145d3d8156022218e;C;prestasi
5cb0e51545d3d8156022218f;C;logika
5cb0e51a45d3d81560222190;C;dipercaya
5cb0e51e45d3d81560222191;C;keahlian
5cb0e52245d3d81560222192;C;kompetensi
5cb0e52645d3d81560222193;C;cermat
5cb0e52a45d3d81560222194;C;perfeksionis
